               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1167,            0.046619,            0.026693,          0.00062223,             0.14015,          0.00041447,          0.00012632,                0.11,            0.038829,            0.024462,              0.0011,              0.0011,              0.0901
                   1,             0.10759,            0.047435,            0.024352,           0.0048158,             0.55682,           0.0071636,           0.0023679,            0.094989,            0.041513,            0.021549,           0.0022998,           0.0022998,              0.0793
                   2,            0.094374,            0.049642,            0.020759,           0.0075733,             0.83333,             0.14173,            0.041494,            0.080867,            0.042159,            0.015748,           0.0034993,           0.0034993,            0.068499
                   3,            0.087419,            0.049883,            0.016694,           0.0083797,             0.93939,             0.12506,            0.025366,            0.088488,            0.034362,            0.010396,           0.0046986,           0.0046986,            0.057699
                   4,            0.089074,            0.038789,            0.011926,             0.57418,             0.28788,             0.13028,            0.029358,            0.096563,            0.025113,           0.0070157,           0.0058977,           0.0058977,            0.046898
                   5,             0.09863,            0.033781,            0.012017,           0.0083419,             0.77273,            0.040795,            0.011013,             0.11115,             0.02089,           0.0060396,           0.0070965,           0.0070965,            0.036096
                   6,             0.10409,            0.029804,           0.0094011,            0.091256,             0.28788,             0.24894,            0.084925,            0.095567,             0.02224,            0.010499,           0.0082951,           0.0082951,            0.025295
                   7,            0.090282,            0.033452,           0.0098311,             0.18417,             0.22727,             0.19962,            0.054673,            0.093788,            0.021293,            0.011752,           0.0094934,           0.0094934,            0.014493
                   8,            0.082194,            0.031961,           0.0090108,             0.92505,            0.075758,             0.13402,            0.061879,             0.11425,            0.015539,           0.0087768,           0.0099921,           0.0099921,           0.0099921
                   9,             0.10718,            0.022648,           0.0077427,             0.44563,             0.24621,             0.25016,             0.11928,             0.10405,            0.016317,            0.010199,           0.0099921,           0.0099921,           0.0099921
                  10,            0.099452,            0.028518,           0.0070975,             0.52771,             0.29225,              0.2581,             0.12425,             0.10327,            0.015337,           0.0055916,           0.0099911,           0.0099911,           0.0099911
                  11,            0.096983,            0.021999,           0.0054295,             0.45882,             0.26136,             0.23943,             0.11717,             0.10222,            0.017061,           0.0042533,           0.0099901,           0.0099901,           0.0099901
                  12,            0.090317,            0.022383,           0.0049064,             0.17756,             0.64394,             0.21356,            0.052024,            0.091995,             0.01787,           0.0031171,           0.0099891,           0.0099891,           0.0099891
                  13,            0.087439,            0.025426,           0.0040977,             0.53346,             0.47727,             0.46843,             0.15355,            0.092595,            0.015317,           0.0027936,           0.0099881,           0.0099881,           0.0099881
